"id","atlas_id","name","acronym","red","green","blue","st_order","st_level","ontology_id","hemisphere_id","sibling_order","created_at","updated_at","row_number"
36,994,"Gustatory areas, layer 1","GU1",0,156,117,0,11,1,3,0,"","","36"
37,570,"longitudinal association bundle","lab",204,204,204,5,8,1,3,5,"","","37"
38,287,"Paraventricular hypothalamic nucleus","PVH",255,93,80,2,8,1,3,2,"","","38"
39,4,"Anterior cingulate area, dorsal part","ACAd",64,166,102,5,9,1,3,5,"","","39"
40,853,"Cerebral cortex, layers 2-3","CTX2/3",112,255,112,1191130,"",1,3,119130,"","","40"
41,995,"posteromedial visual area, layer 2/3","VISpm2/3",8,133,140,1,11,1,3,1,"","","41"
42,429,"Superior colliculus, motor related, deep white layer","SCdw",255,144,255,1,9,1,3,1,"","","42"
43,712,"ansoparamedian fissure","apf",170,170,170,10,8,1,3,10,"","","43"
44,146,"Infralimbic area","ILA",89,179,99,9,8,1,3,9,"","","44"
45,854,"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part","SPVOrdm",255,165,210,3,10,1,3,3,"","","45"
46,571,"mammillary related","mfbsma",204,204,204,8,8,1,3,8,"","","46"
47,288,"Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part","PVHam",255,93,80,0,10,1,3,0,"","","47"
48,5,"Anterior cingulate area, ventral part","ACAv",64,166,102,6,9,1,3,6,"","","48"
49,713,"intraparafloccular fissure","ipf",170,170,170,11,8,1,3,11,"","","49"
50,430,"Precommissural nucleus","PRC",255,144,255,0,9,1,3,0,"","","50"
51,147,"Intralaminar nuclei of the dorsal thalamus","ILM",255,144,159,4,7,1,3,4,"","","51"
52,996,"Entorhinal area, lateral part, layer 3","ENTl3",50,184,37,5,11,1,3,5,"","","52"
53,855,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone","SPVOmdmd",255,165,210,1,10,1,3,1,"","","53"
54,572,"medial forebrain bundle","mfb",204,204,204,0,8,1,3,0,"","","54"
55,289,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part","PVHap",255,93,80,0,10,1,3,0,"","","55"
56,6,"Nucleus accumbens","ACB",128,205,248,0,8,1,3,0,"","","56"
57,714,"paramedian sulcus","pms",170,170,170,12,8,1,3,12,"","","57"
58,431,"Medial terminal nucleus of the accessory optic tract","MT",255,144,255,20,8,1,3,20,"","2017-08-10 20:05:28.725655","58"
59,148,"Intermediodorsal nucleus of the thalamus","IMD",255,144,159,0,8,1,3,0,"","","59"
60,997,"Entorhinal area, lateral part, layer 6b","ENTl6b",50,184,37,11,11,1,3,11,"","","60"
61,856,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone","SPVOmdmv",255,165,210,2,10,1,3,2,"","","61"
62,573,"medial longitudinal fascicle","mlf",204,204,204,0,9,1,3,0,"","","62"
63,290,"Paraventricular hypothalamic nucleus, descending division","PVHd",255,76,62,5,8,1,3,5,"","","63"
64,7,"Anterodorsal nucleus","AD",255,144,159,2,8,1,3,2,"","","64"
65,715,"parafloccular sulcus","pfs",170,170,170,13,8,1,3,13,"","","65"
66,432,"Lateral terminal nucleus of the accessory optic tract","LT",255,144,255,18,8,1,3,18,"","2017-08-10 20:05:28.696046","66"
67,149,"Interstitial nucleus of Cajal","INC",255,144,255,1,9,1,3,1,"","","67"
68,998,"Frontal pole, layer 1","FRP1",38,143,69,0,11,1,3,0,"","","68"
69,857,"Spinal nucleus of the trigeminal, oral part, ventrolateral part","SPVOvl",255,165,210,4,10,1,3,4,"","","69"
70,574,"midbrain related","mfbsm",204,204,204,11,8,1,3,11,"","","70"
71,291,"Paraventricular hypothalamic nucleus, magnocellular division","PVHm",255,93,80,0,9,1,3,0,"","","71"
72,8,"Anterodorsal preoptic nucleus","ADP",255,85,71,0,8,1,3,0,"","","72"
73,716,"ventricular systems","VS",170,170,170,2,1,1,3,2,"","","73"
74,999,"Lateral visual area, layer 6a","VISl6a",8,133,140,4,11,1,3,4,"","","74"
75,433,"Dorsal terminal nucleus of the accessory optic tract","DT",255,144,255,19,8,1,3,19,"","2017-08-10 20:05:28.710873","75"
76,150,"Interstitial nucleus of the vestibular nerve","INV",255,179,217,27,8,1,3,27,"","","76"
77,858,"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part","SPVOcdm",255,165,210,0,10,1,3,0,"","","77"
78,575,"middle cerebellar peduncle","mcp",204,204,204,1,8,1,3,1,"","","78"
79,292,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part","PVHmm",255,93,80,1,10,1,3,1,"","","79"
80,9,"Anterior hypothalamic area","AHA",255,85,71,1,8,1,3,1,"","","80"
81,717,"lateral ventricle","VL",170,170,170,0,8,1,3,0,"","","81"
82,434,"Nucleus of the lateral lemniscus, dorsal part","NLLd",255,174,111,0,9,1,3,0,"","","82"
83,151,"Inferior olivary complex","IO",255,179,217,10,8,1,3,10,"","","83"
84,1000,"Prelimbic area, layer 6a","PL6a",47,168,80,4,11,1,3,4,"","","84"
85,859,"spinocerebellar tract","sct",204,204,204,0,10,1,3,0,"","","85"
86,576,"middle thalamic commissure","mtc",204,204,204,2,8,1,3,2,"","","86"
87,293,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone","PVHmpd",255,93,80,1,10,1,3,1,"","","87"
88,10,"Anterior hypothalamic nucleus","AHN",255,76,62,0,8,1,3,0,"","","88"
89,718,"rhinocele","RC",170,170,170,0,9,1,3,0,"","","89"
90,435,"Nucleus of the lateral lemniscus, horizontal part","NLLh",255,174,111,1,9,1,3,1,"","","90"
91,152,"Interposed nucleus","IP",255,253,188,1,8,1,3,1,"","","91"
92,1001,"Entorhinal area, lateral part, layer 4","ENTl4",50,184,37,6,11,1,3,6,"","","92"
93,577,"motor root of the trigeminal nerve","moV",204,204,204,0,9,1,3,0,"","","93"
94,294,"Paraventricular hypothalamic nucleus, parvicellular division","PVHp",255,93,80,1,9,1,3,1,"","","94"
95,11,"Agranular insular area","AI",33,152,102,11,8,1,3,11,"","","95"
96,860,"Dorsal cochlear nucleus","DCO",255,165,210,2,8,1,3,2,"","","96"
97,1002,"Temporal association areas, layer 1","TEa1",21,176,179,0,11,1,3,0,"","","97"
98,719,"subependymal zone","SEZ",170,170,170,1,9,1,3,1,"","","98"
99,436,"Nucleus of the lateral lemniscus, ventral part","NLLv",255,174,111,2,9,1,3,2,"","","99"
100,153,"Interpeduncular nucleus","IPN",255,166,255,1,8,1,3,1,"","","100"
101,861,"Ventral cochlear nucleus","VCO",255,165,210,3,8,1,3,3,"","","101"
102,578,"nigrostriatal tract","nst",204,204,204,1,8,1,3,1,"","","102"
103,295,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part","PVHpm",255,93,80,2,10,1,3,2,"","","103"
104,12,"Agranular insular area, dorsal part","AId",33,152,102,0,9,1,3,0,"","","104"
105,437,"Superior olivary complex, medial part","SOCm",255,174,111,1,9,1,3,1,"","","105"
106,154,"Inferior salivatory nucleus","ISN",255,179,217,12,8,1,3,12,"","","106"
107,1003,"Somatomotor areas, Layer 1","MO1",31,157,90,0,11,1,3,0,"","","107"
108,720,"choroid plexus","chpl",170,170,170,2,9,1,3,2,"","","108"
109,579,"nigrothalamic fibers","ntt",204,204,204,2,8,1,3,2,"","","109"
110,296,"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part","PVHpv",255,93,80,2,10,1,3,2,"","","110"
111,13,"Agranular insular area, posterior part","AIp",33,152,102,1,9,1,3,1,"","","111"
112,862,"Granular lamina of the cochlear nuclei","CNlam",255,165,210,0,8,1,3,0,"","","112"
113,1004,"Primary somatosensory area, lower limb, layer 2/3","SSp-ll2/3",24,128,100,1,11,1,3,1,"","","113"
114,438,"Superior olivary complex, lateral part","SOCl",255,174,111,2,9,1,3,2,"","","114"
115,155,"Trochlear nucleus","IV",255,144,255,14,8,1,3,14,"","2017-08-10 20:05:28.632381","115"
116,721,"choroid fissure","chfl",170,170,170,3,9,1,3,3,"","","116"
117,580,"optic chiasm","och",204,204,204,3,9,1,3,3,"","","117"
118,297,"Periventricular hypothalamic nucleus, intermediate part","PVi",255,93,80,4,9,1,3,4,"","","118"
119,14,"Agranular insular area, ventral part","AIv",33,152,102,2,9,1,3,2,"","","119"
120,863,"Agranular insular area, posterior part, layer 1","AIp1",33,152,102,0,11,1,3,0,"","","120"
121,1005,"Lateral visual area, layer 6b","VISl6b",8,133,140,5,11,1,3,5,"","","121"
122,439,"Superior olivary complex, periolivary region","POR",255,174,111,0,9,1,3,0,"","","122"
123,156,"Koelliker-Fuse subnucleus","KF",255,174,111,0,9,1,3,0,"","","123"
124,722,"interventricular foramen","IVF",170,170,170,1,8,1,3,1,"","","124"
125,581,"optic tract","opt",204,204,204,4,9,1,3,4,"","","125"
126,298,"Periventricular hypothalamic nucleus, posterior part","PVp",255,85,71,11,8,1,3,11,"","","126"
127,15,"Anteromedial nucleus","AM",255,144,159,1,8,1,3,1,"","","127"
128,864,"Midbrain reticular nucleus","MRN",255,144,255,4,8,1,3,4,"","2017-08-10 20:05:28.399738","128"
129,723,"third ventricle","V3",170,170,170,2,8,1,3,2,"","","129"
130,440,"Superior central nucleus raphe, medial part","CSm",255,195,149,1,9,1,3,1,"","","130"
131,157,"Lateral amygdalar nucleus","LA",144,235,141,3,8,1,3,3,"","","131"
132,1006,"Prelimbic area, layer 6b","PL6b",47,168,80,5,11,1,3,5,"","","132"
133,299,"Periventricular hypothalamic nucleus, preoptic part","PVpo",255,85,71,12,8,1,3,12,"","","133"
134,582,"pallidotegmental fascicle","ptf",204,204,204,3,8,1,3,3,"","","134"
135,16,"Nucleus ambiguus","AMB",255,179,217,5,8,1,3,5,"","","135"
136,865,"Intermediate reticular nucleus","IRN",255,179,217,11,8,1,3,11,"","","136"
137,441,"Superior central nucleus raphe, lateral part","CSl",255,195,149,0,9,1,3,0,"","","137"
138,158,"Lateral group of the dorsal thalamus","LAT",255,144,159,0,7,1,3,0,"","","138"
139,1007,"Entorhinal area, lateral part, layer 5","ENTl5",50,184,37,8,11,1,3,8,"","","139"
140,724,"cerebral aqueduct","AQ",170,170,170,3,8,1,3,3,"","","140"
141,300,"Periventricular region","PVR",255,85,71,1,6,1,3,1,"","","141"
142,583,"pallidothalamic pathway","pap",204,204,204,0,8,1,3,0,"","2016-12-06 19:25:50.269167","142"
143,17,"Nucleus ambiguus, ventral division","AMBv",255,179,217,1,9,1,3,1,"","","143"
144,866,"Olfactory tubercle, layers 1-3","OT1-3",128,205,248,2,11,1,3,2,"","","144"
145,725,"fourth ventricle","V4",170,170,170,4,8,1,3,4,"","","145"
146,442,"Pontine reticular nucleus","PRNr",255,195,149,4,8,1,3,4,"","","146"
147,159,"Locus ceruleus","LC",255,195,149,1,8,1,3,1,"","","147"
148,1008,"Gustatory areas, layer 4","GU4",0,156,117,2,11,1,3,2,"","","148"
149,301,"Paraventricular nucleus of the thalamus","PVT",255,144,159,0,8,1,3,0,"","","149"
150,584,"periventricular bundle of the hypothalamus","pvbh",204,204,204,7,8,1,3,7,"","","150"
151,18,"Accessory olfactory bulb","AOB",157,240,210,1,8,1,3,1,"","","151"
152,867,"Piriform area, layers 1-3","PIR1-3",106,203,186,0,11,1,3,0,"","","152"
153,726,"lateral recess","V4r",170,170,170,0,9,1,3,0,"","","153"
154,443,"Perihypoglossal nuclei","PHY",255,179,217,20,7,1,3,20,"","","154"
155,160,"Lateral dorsal nucleus of thalamus","LD",255,144,159,5,8,1,3,5,"","","155"
156,1009,"Dorsal auditory area, layer 6a","AUDd6a",1,147,153,4,11,1,3,4,"","","156"
157,302,"Periventricular zone","PVZ",255,93,80,0,6,1,3,0,"","","157"
158,585,"posterior commissure","pc",204,204,204,1,9,1,3,1,"","","158"
159,19,"Anterior olfactory nucleus","AON",84,191,148,2,8,1,3,2,"","","159"
160,868,"Anterior olfactory nucleus, layer 1","AON1",84,191,148,5,11,1,3,5,"","","160"
161,444,"Nucleus intercalatus","NIS",255,179,217,0,8,1,3,0,"","","161"
162,161,"Laterodorsal tegmental nucleus","LDT",255,195,149,2,8,1,3,2,"","","162"
163,1010,"Agranular insular area, posterior part, layer 2/3","AIp2/3",33,152,102,1,11,1,3,1,"","","163"
164,727,"central canal, spinal cord/medulla","c",170,170,170,5,8,1,3,5,"","","164"
165,303,"Midbrain raphe nuclei","RAmb",255,166,255,2,7,1,3,2,"","","165"
166,586,"premammillary commissure","pmx",204,204,204,4,8,1,3,4,"","","166"
167,20,"Anterior olfactory nucleus, dorsal part","AONd",84,191,148,0,9,1,3,0,"","","167"
168,869,"Anterior olfactory nucleus, layer 2","AON2",84,191,148,6,11,1,3,6,"","","168"
169,445,"Nucleus prepositus","PRP",255,179,217,2,8,1,3,2,"","","169"
170,162,"Dorsal part of the lateral geniculate complex","LGd",255,128,132,1,8,1,3,1,"","","170"
171,1011,"Prelimbic area, layer 1","PL1",47,168,80,0,11,1,3,0,"","","171"
172,728,"none","none",255,255,255,"","",1,3,0,"","","172"
173,304,"Retrochiasmatic area","RCH",242,72,59,5,8,1,3,5,"","2017-03-23 19:45:15.440104","173"
174,587,"preoptic commissure","poc",204,204,204,2,8,1,3,2,"","","174"
175,21,"Anterior olfactory nucleus, external part","AONe",84,191,148,1,9,1,3,1,"","","175"
176,870,"Cerebral cortex, layer 6","CTX6",112,255,112,1191170,"",1,3,119170,"","","176"
177,446,"Nucleus of Roller","NR",255,179,217,1,8,1,3,1,"","","177"
178,163,"Ventral part of the lateral geniculate complex","LGv",255,144,159,2,8,1,3,2,"","2017-01-14 01:19:41.138523","178"
179,1012,"Anterior cingulate area, layer 6a","ACA6a",64,166,102,3,11,1,3,3,"","","179"
180,729,"Gustatory areas, layer 2/3","GU2/3",0,156,117,1,11,1,3,1,"","","180"
181,305,"Nucleus of reuniens","RE",255,144,159,2,8,1,3,2,"","","181"
182,588,"propriohypothalamic pathways","php",204,204,204,6,8,1,3,6,"","","182"
183,22,"Anterior olfactory nucleus, lateral part","AONl",84,191,148,2,9,1,3,2,"","","183"
184,871,"Frontal pole, cerebral cortex","FRP",38,143,69,0,8,1,3,0,"","","184"
185,447,"Parapyramidal nucleus, deep part","PPYd",255,179,217,0,9,1,3,0,"","","185"
186,164,"Lateral habenula","LH",255,144,159,1,8,1,3,1,"","","186"
187,1013,"Gustatory areas, layer 5","GU5",0,156,117,3,11,1,3,3,"","","187"
188,730,"Accessory olfactory bulb, glomerular layer","AOBgl",157,240,210,0,11,1,3,0,"","","188"
189,306,"Rhomboid nucleus","RH",255,144,159,0,8,1,3,0,"","","189"
190,589,"pyramid","py",204,204,204,6,9,1,3,6,"","","190"
191,23,"Anterior olfactory nucleus, medial part","AONm",84,191,148,3,9,1,3,3,"","","191"
192,872,"Cortical amygdalar area, anterior part, layer 1","COAa1",97,231,183,0,11,1,3,0,"","","192"
193,448,"Parapyramidal nucleus, superficial part","PPYs",255,179,217,1,9,1,3,1,"","","193"
194,165,"Lateral hypothalamic area","LHA",242,72,59,0,8,1,3,0,"","","194"
195,1014,"Prelimbic area, layer 2","PL2",47,168,80,1,11,1,3,1,"","","195"
196,731,"Accessory olfactory bulb, granular layer","AOBgr",149,228,200,1,11,1,3,1,"","","196"
197,307,"Rostral linear nucleus raphe","RL",255,166,255,2,8,1,3,2,"","","197"
198,590,"pyramidal decussation","pyd",204,204,204,7,9,1,3,7,"","","198"
199,24,"Anterior olfactory nucleus, posteroventral part","AONpv",84,191,148,4,9,1,3,4,"","","199"
200,873,"Cortical amygdalar area, anterior part, layer 2","COAa2",97,231,183,1,11,1,3,1,"","","200"
201,1015,"Primary somatosensory area, barrel field, layer 2/3","SSp-bfd2/3",24,128,100,1,11,1,3,1,"","","201"
202,449,"Medial vestibular nucleus","MV",255,179,217,1,8,1,3,1,"","","202"
203,166,"Linear nucleus of the medulla","LIN",255,179,217,13,8,1,3,13,"","","203"
204,732,"Accessory olfactory bulb, mitral layer","AOBmi",157,240,210,2,11,1,3,2,"","","204"
205,591,"retriculospinal tract, lateral part","rstl",204,204,204,0,9,1,3,0,"","","205"
206,308,"Nucleus raphe magnus","RM",255,198,226,0,8,1,3,0,"","","206"
207,25,"Area postrema","AP",255,165,210,0,8,1,3,0,"","","207"
208,874,"Cortical amygdalar area, anterior part, layer 3","COAa3",97,231,183,2,11,1,3,2,"","","208"
209,450,"Lateral vestibular nucleus","LAV",255,179,217,0,8,1,3,0,"","","209"
210,167,"Lateral mammillary nucleus","LM",255,76,62,0,8,1,3,0,"","","210"
211,1016,"Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3",64,166,102,1,11,1,3,1,"","","211"
212,733,"Main olfactory bulb, glomerular layer","MOBgl",130,199,174,0,11,1,3,0,"","","212"
213,592,"retriculospinal tract, medial part","rstm",204,204,204,1,9,1,3,1,"","","213"
214,309,"Red nucleus","RN",255,144,255,10,8,1,3,10,"","2017-08-10 20:05:28.573009","214"
215,26,"Anterior pretectal nucleus","APN",255,144,255,0,9,1,3,0,"","","215"
216,875,"Cortical amygdalar area, posterior part, lateral zone, layer 1","COApl1",97,231,183,2,11,1,3,2,"","","216"
217,451,"Superior vestibular nucleus","SUV",255,179,217,3,8,1,3,3,"","","217"
218,168,"Lateral posterior nucleus of the thalamus","LP",255,144,159,0,8,1,3,0,"","","218"
219,1017,"Somatomotor areas, Layer 2/3","MO2/3",31,157,90,1,11,1,3,1,"","","219"
220,734,"Main olfactory bulb, granule layer","MOBgr",130,199,174,1,11,1,3,1,"","","220"
221,593,"rubroreticular tract","rrt",204,204,204,1,9,1,3,1,"","","221"
222,310,"Nucleus raphe obscurus","RO",255,198,226,2,8,1,3,2,"","","222"
223,27,"Arcuate hypothalamic nucleus","ARH",255,93,80,5,8,1,3,5,"","","223"
224,876,"Cortical amygdalar area, posterior part, lateral zone, layer 2","COApl2",97,231,183,3,11,1,3,3,"","","224"
225,452,"Spinal vestibular nucleus","SPIV",255,179,217,2,8,1,3,2,"","","225"
226,169,"Lateral preoptic area","LPO",242,72,59,1,8,1,3,1,"","","226"
227,1018,"Anterior cingulate area, layer 6b","ACA6b",64,166,102,4,11,1,3,4,"","","227"
228,735,"Main olfactory bulb, inner plexiform layer","MOBipl",154,210,189,2,11,1,3,2,"","","228"
229,594,"sensory root of the trigeminal nerve","sV",204,204,204,1,9,1,3,1,"","","229"
230,311,"Nucleus raphe pallidus","RPA",255,198,226,1,8,1,3,1,"","","230"
231,28,"Anterior tegmental nucleus","AT",255,144,255,17,8,1,3,17,"","2017-08-10 20:05:28.680904","231"
232,877,"Cortical amygdalar area, posterior part, lateral zone, layer 3","COApl3",97,231,183,4,11,1,3,4,"","","232"
233,453,"Anterolateral visual area, layer 5","VISal5",8,133,140,3,11,1,3,3,"","","233"
234,1019,"Temporal association areas, layer 4","TEa4",21,176,179,2,11,1,3,2,"","","234"
235,170,"Lateral reticular nucleus","LRN",255,179,217,14,8,1,3,14,"","","235"
236,736,"Main olfactory bulb, mitral layer","MOBmi",130,199,174,3,11,1,3,3,"","","236"
237,595,"solitary tract","ts",204,204,204,0,9,1,3,0,"","","237"
238,312,"Nucleus raphe pontis","RPO",255,195,149,5,8,1,3,5,"","","238"
239,29,"Anterior group of the dorsal thalamus","ATN",255,144,159,1,7,1,3,1,"","","239"
240,878,"Cortical amygdalar area, posterior part, medial zone, layer 1","COApm1",97,231,183,2,11,1,3,2,"","","240"
241,454,"Posterior parietal association areas, layer 2/3","PTLp2/3",0,159,172,1,11,1,3,1,"","","241"
242,171,"Lateral septal nucleus","LS",144,203,237,0,8,1,3,0,"","","242"
243,1020,"Dorsal auditory area, layer 6b","AUDd6b",1,147,153,5,11,1,3,5,"","","243"
244,737,"Main olfactory bulb, outer plexiform layer","MOBopl",154,210,189,4,11,1,3,4,"","","244"
245,596,"spinocervical tract","scrt",204,204,204,2,9,1,3,2,"","","245"
246,313,"Midbrain reticular nucleus, retrorubral area","RR",255,144,255,3,8,1,3,3,"","2017-08-10 20:05:28.383358","246"
247,30,"Auditory areas","AUD",1,147,153,5,6,1,3,5,"","","247"
248,879,"Cortical amygdalar area, posterior part, medial zone, layer 2","COApm2",97,231,183,3,11,1,3,3,"","","248"
249,455,"Posterior auditory area, layer 6a","AUDpo6a",1,147,153,4,11,1,3,4,"","","249"
250,172,"Lateral septal nucleus, caudal (caudodorsal) part","LSc",144,203,237,0,9,1,3,0,"","","250"
251,1021,"Primary auditory area, layer 2/3","AUDp2/3",1,147,153,1,11,1,3,1,"","","251"
252,738,"Dorsal auditory area, layer 5","AUDd5",1,147,153,3,11,1,3,3,"","","252"
253,597,"spinohypothalamic pathway","shp",204,204,204,7,9,1,3,7,"","","253"
254,314,"Retrosplenial area","RSP",26,166,152,12,8,1,3,12,"","","254"
255,31,"Anteroventral nucleus of thalamus","AV",255,144,159,0,8,1,3,0,"","","255"
256,880,"Cortical amygdalar area, posterior part, medial zone, layer 3","COApm3",97,231,183,4,11,1,3,4,"","","256"
257,456,"posteromedial visual area, layer 6a","VISpm6a",8,133,140,4,11,1,3,4,"","","257"
258,173,"Lateral septal nucleus, rostral (rostroventral) part","LSr",144,203,237,1,9,1,3,1,"","","258"
259,1022,"Entorhinal area, medial part, ventral zone, layer 1","ENTmv1",50,184,37,0,11,1,3,0,"","","259"
260,739,"Nucleus of the lateral olfactory tract, molecular layer","NLOT1",149,228,200,1,11,1,3,1,"","","260"
261,598,"spino-olivary pathway","sop",204,204,204,3,9,1,3,3,"","","261"
262,315,"Reticular nucleus of the thalamus","RT",255,144,159,5,8,1,3,5,"","","262"
263,32,"Anteroventral preoptic nucleus","AVP",255,85,71,2,8,1,3,2,"","","263"
264,881,"Orbital area, layer 1","ORB1",36,138,94,0,11,1,3,0,"","","264"
265,457,"Globus pallidus","GP",0,0,0,"","",1,3,0,"","","265"
266,174,"Lateral septal nucleus, ventral part","LSv",144,203,237,2,9,1,3,2,"","","266"
267,1023,"Dorsal peduncular area, layer 6a","DP6a",164,218,164,4,11,1,3,4,"","","267"
268,740,"Nucleus of the lateral olfactory tract, pyramidal layer","NLOT2",149,228,200,2,11,1,3,2,"","","268"
269,882,"Posterolateral visual area, layer 2/3","VISpl2/3",8,133,140,1,11,1,3,1,"","","269"
270,599,"spinoreticular pathway","srp",204,204,204,4,9,1,3,4,"","","270"
271,316,"Nucleus sagulum","SAG",255,122,255,3,8,1,3,3,"","","271"
272,33,"Anteroventral periventricular nucleus","AVPV",255,85,71,3,8,1,3,3,"","","272"
273,458,"Substantia nigra","SN",255,134,255,"","",1,3,0,"","","273"
274,1024,"Retrosplenial area, dorsal part, layer 6a","RSPd6a",26,166,152,4,11,1,3,4,"","","274"
275,175,"Lateral septal complex","LSX",144,203,237,2,6,1,3,2,"","","275"
276,741,"Piriform area, molecular layer","PIR1",106,203,186,1,11,1,3,1,"","","276"
277,600,"spinotectal pathway","stp",204,204,204,6,9,1,3,6,"","","277"
278,317,"Striatum-like amygdalar nuclei","sAMY",128,192,226,3,6,1,3,3,"","","278"
279,883,"Retrosplenial area, lateral agranular part, layer 6b","RSPagl6b",26,166,152,4,11,1,3,4,"","","279"
280,34,"Barrington's nucleus","B",255,186,134,0,8,1,3,0,"","","280"
281,1025,"Anteromedial visual area, layer 1","VISam1",8,133,140,0,11,1,3,0,"","","281"
282,459,"Superior colliculus","SC",0,0,0,"","",1,3,0,"","","282"
283,176,"Lateral tegmental nucleus","LTN",255,186,134,2,8,1,3,2,"","","283"
284,742,"Piriform area, pyramidal layer","PIR2",106,203,186,2,11,1,3,2,"","","284"
285,601,"spinotelenchephalic pathway","step",204,204,204,8,9,1,3,8,"","","285"
286,318,"Suprachiasmatic nucleus","SCH",255,85,71,14,8,1,3,14,"","","286"
287,35,"Bed nucleus of the anterior commissure","BAC",179,192,223,1,8,1,3,1,"","","287"
288,884,"Orbital area, ventrolateral part, layer 2/3","ORBvl2/3",36,138,94,1,11,1,3,1,"","","288"
289,1026,"Temporal association areas, layer 5","TEa5",21,176,179,3,11,1,3,3,"","","289"
290,177,"Hypothalamic lateral zone","LZ",242,72,59,3,6,1,3,3,"","","290"
291,743,"Piriform area, polymorph layer","PIR3",106,203,186,3,11,1,3,3,"","","291"
292,460,"Bed nucleus of the accessory olfactory tract","BA",128,192,226,1,8,1,3,1,"","","292"
293,602,"spinovestibular pathway","svp",204,204,204,5,9,1,3,5,"","","293"
294,319,"Superior colliculus, motor related","SCm",255,144,255,5,8,1,3,5,"","2017-08-10 20:05:28.423535","294"
